task,model,stimulus_group,stimulus_index,legacy_pnum,few_shot,seed,temperature,do_sample,score
sentence_similarity,flan-t5-large,negative_original,,1,False,42,0.0,False,0.57
sentence_similarity,flan-t5-large,negative_original,,2,False,42,0.0,False,0.56
word_in_context,flan-t5-large,negative_original,,1,False,42,0.0,False,0.58
word_in_context,flan-t5-large,negative_original,,1,False,42,0.0,False,0.58
word_in_context,flan-t5-large,negative_original,,2,False,42,0.0,False,0.59
word_in_context,flan-t5-large,negative_original,,3,False,42,0.0,False,0.61
word_in_context,flan-t5-large,negative_original,,4,False,42,0.0,False,0.55
word_in_context,flan-t5-large,negative_original,,1,False,43,0.0,False,0.58
word_in_context,flan-t5-large,negative_original,,2,False,43,0.0,False,0.59
word_in_context,flan-t5-large,negative_original,,3,False,43,0.0,False,0.61
word_in_context,flan-t5-large,negative_original,,4,False,43,0.0,False,0.55
word_in_context,flan-t5-large,negative_original,,1,False,44,0.0,False,0.58
word_in_context,flan-t5-large,negative_original,,2,False,44,0.0,False,0.59
word_in_context,flan-t5-large,negative_original,,3,False,44,0.0,False,0.61
active_to_passive,flan-t5-large,negative_original,,1,False,42,0.0,False,0.01,26.561,0.266
active_to_passive,flan-t5-large,negative_original,,2,False,42,0.0,False,0.0,26.182,0.262
active_to_passive,flan-t5-large,negative_original,,3,False,42,0.0,False,0.0,26.577,0.266
active_to_passive,flan-t5-large,negative_original,,4,False,42,0.0,False,0.0,26.868,0.269
antonyms,flan-t5-large,negative_original,,1,False,42,0.0,False,0.55,13.114,0.131
antonyms,flan-t5-large,negative_original,,2,False,42,0.0,False,0.56,13.443,0.134
antonyms,flan-t5-large,negative_original,,3,False,42,0.0,False,0.52,13.263,0.133
antonyms,flan-t5-large,negative_original,,4,False,42,0.0,False,0.55,13.382,0.134
cause_and_effect,flan-t5-large,negative_original,,1,False,42,0.0,False,0.68,9.018,0.361
cause_and_effect,flan-t5-large,negative_original,,2,False,42,0.0,False,0.6,8.992,0.360
cause_and_effect,flan-t5-large,negative_original,,3,False,42,0.0,False,0.64,9.105,0.364
cause_and_effect,flan-t5-large,negative_original,,4,False,42,0.0,False,0.52,9.456,0.378
common_concept,flan-t5-large,negative_original,,1,False,42,0.0,False,0.0,4.842,0.303
common_concept,flan-t5-large,negative_original,,2,False,42,0.0,False,0.0,4.634,0.290
common_concept,flan-t5-large,negative_original,,3,False,42,0.0,False,0.0,5.355,0.335
common_concept,flan-t5-large,negative_original,,4,False,42,0.0,False,0.0,5.089,0.318
diff,flan-t5-large,negative_original,,1,False,42,0.0,False,0.04,12.905,0.129
diff,flan-t5-large,negative_original,,2,False,42,0.0,False,0.02,12.545,0.125
diff,flan-t5-large,negative_original,,3,False,42,0.0,False,0.02,12.684,0.127
diff,flan-t5-large,negative_original,,4,False,42,0.0,False,0.04,12.767,0.128
